prompt_text,cue_text,correct_target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,prompt.started,left.started,right.started,cue.started,mouse.started,prompt.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,pause.started,thanks.started,thanks.stopped,pause.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Click right.,<---,right,0,0,0,2,0.017067250000309286,,0.007367000000158441,0.017067250000309286,1.0020793749999939,1.0020793749999939,1.0020793749999939,1.0021430420001707,1.0089177499999096,1.4081044580002526,"[0.43333333333333335, 0.43333333333333335, 0.43333333333333335, 0.435, 0.435, 0.43666666666666665, 0.43666666666666665, 0.43666666666666665, 0.43666666666666665, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.43833333333333335, 0.44, 0.44, 0.44166666666666665, 0.44166666666666665, 0.44166666666666665, 0.44166666666666665, 0.44166666666666665, 0.44166666666666665, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.445, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.44666666666666666, 0.445, 0.445]","[0.0016666666666666668, 0.0016666666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0027137080001012, 1.0096891250000226, 1.023767874999976, 1.0301599580002403, 1.0396794160001264, 1.0462477910000416, 1.0569132499999796, 1.0626873750002233, 1.0736672500001987, 1.0793309159998898, 1.0895512080001026, 1.094880041000124, 1.106536041000254, 1.1119821249999404, 1.123223333000169, 1.1286910829999215, 1.1402164999999513, 1.146259832999931, 1.1568795000002865, 1.1628240410000217, 1.1731841660002829, 1.1781872910000857, 1.1898012500000732, 1.1946667910001452, 1.2072549160002382, 1.2129180830002042, 1.2231367500003216, 1.2283443750002334, 1.2397183749999385, 1.2447626660000424, 1.25668987500012, 1.2611826659999679, 1.2727105829999346, 1.2775178330002745, 1.2894147080000948, 1.2943369580002582, 1.3064739999999802, 1.3112924580000254, 1.3229803750000428, 1.3280307909999465, 1.3395833750000747, 1.3444430409999768, 1.3562344580000172, 1.361383541000123, 1.3729442500002733, 1.377781208000215, 1.3897499160002553, 1.3949957079998967, 1.4073356660001082]",['right'],1.410260166000171,1.4140967500002262,2.423166874999879,2.4065360829999918,350024,001,2024-06-25_11h22.12.994,hello_pyramid,2024.1.5,None,2024-06-25 11h22.16.115603 -0400,
Click left.,--->,left,0,1,1,1,2.423166874999879,,2.4070806250001624,2.423166874999879,3.405853333000323,3.405853333000323,3.405853333000323,1.002262666000206,3.41248537499996,4.178925250000248,"[-0.0016666666666666668, -0.0016666666666666668, -0.0033333333333333335, -0.0033333333333333335, -0.005, -0.005, -0.006666666666666667, -0.006666666666666667, -0.008333333333333333, -0.01, -0.01, -0.011666666666666667, -0.015, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.02, -0.02, -0.021666666666666667, -0.021666666666666667, -0.025, -0.025, -0.041666666666666664, -0.06166666666666667, -0.06666666666666667, -0.09333333333333334, -0.11666666666666667, -0.14333333333333334, -0.16666666666666666, -0.18833333333333332, -0.205, -0.225, -0.245, -0.265, -0.2833333333333333, -0.3, -0.31333333333333335, -0.33, -0.34833333333333333, -0.34833333333333333, -0.37166666666666665, -0.37166666666666665, -0.37833333333333335, -0.37833333333333335, -0.38166666666666665, -0.38166666666666665, -0.385, -0.385, -0.3883333333333333, -0.39, -0.3933333333333333, -0.39666666666666667, -0.4033333333333333, -0.41, -0.41, -0.41, -0.4116666666666667, -0.4116666666666667, -0.4166666666666667, -0.4166666666666667, -0.41833333333333333, -0.41833333333333333, -0.42, -0.42, -0.425, -0.425, -0.43, -0.43, -0.43833333333333335, -0.43833333333333335, -0.44333333333333336, -0.44666666666666666, -0.45, -0.45, -0.45, -0.45166666666666666, -0.45166666666666666, -0.45166666666666666, -0.4533333333333333, -0.4533333333333333, -0.4533333333333333, -0.4533333333333333, -0.4533333333333333, -0.4533333333333333, -0.4533333333333333]","[-0.10833333333333334, -0.10833333333333334, -0.10833333333333334, -0.10666666666666667, -0.10666666666666667, -0.10666666666666667, -0.10666666666666667, -0.105, -0.105, -0.105, -0.105, -0.10333333333333333, -0.10333333333333333, -0.10333333333333333, -0.10166666666666667, -0.10166666666666667, -0.10166666666666667, -0.10166666666666667, -0.10166666666666667, -0.10166666666666667, -0.1, -0.1, -0.1, -0.1, -0.09666666666666666, -0.09333333333333334, -0.09333333333333334, -0.09166666666666666, -0.08666666666666667, -0.08333333333333333, -0.07833333333333334, -0.07333333333333333, -0.07166666666666667, -0.06666666666666667, -0.06333333333333334, -0.058333333333333334, -0.056666666666666664, -0.051666666666666666, -0.05, -0.04666666666666667, -0.043333333333333335, -0.043333333333333335, -0.04, -0.04, -0.03833333333333333, -0.03833333333333333, -0.03666666666666667, -0.03666666666666667, -0.03666666666666667, -0.03666666666666667, -0.035, -0.035, -0.035, -0.03333333333333333, -0.03166666666666667, -0.03166666666666667, -0.03166666666666667, -0.03166666666666667, -0.03166666666666667, -0.03166666666666667, -0.028333333333333332, -0.028333333333333332, -0.028333333333333332, -0.028333333333333332, -0.028333333333333332, -0.028333333333333332, -0.02666666666666667, -0.02666666666666667, -0.025, -0.025, -0.02, -0.02, -0.02, -0.018333333333333333, -0.018333333333333333, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.015, -0.015, -0.015]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.4129860830003054, 3.423066583000036, 3.429547916000047, 3.4396871660001125, 3.446612875000028, 3.4566549579999446, 3.4623491659999672, 3.473626250000052, 3.4797421250000298, 3.490303500000209, 3.496158416000071, 3.5069225000002007, 3.5124080000000504, 3.5234770000001845, 3.528762458000074, 3.5399260409999442, 3.5448577500001193, 3.556846916000268, 3.5622745000000577, 3.57354287499993, 3.5787867910003115, 3.5902814159999252, 3.5956265410000015, 3.6066130829999565, 3.6119673329999387, 3.6232407080001394, 3.628627291000157, 3.6400383330001205, 3.645084791000045, 3.656797208000171, 3.661658458000147, 3.673306749999938, 3.6782849159999387, 3.690027832999931, 3.6951490410001497, 3.706830790999902, 3.7120430410000154, 3.7235168330003034, 3.728589207999903, 3.740228500000285, 3.7450787910001964, 3.7567692500001613, 3.761673666000206, 3.77347462500029, 3.7783128330002, 3.789744000000155, 3.7947285410000404, 3.806786957999975, 3.811654915999952, 3.8234468750001724, 3.8283256250001614, 3.839897374999964, 3.845008875000076, 3.8566919160002726, 3.8613132499999665, 3.8734146249998958, 3.877994625000156, 3.890008000000307, 3.8946151660002215, 3.9067311250000785, 3.969006083000295, 3.9725962500001515, 3.9761022910001884, 3.9896276660001604, 3.9937612500002615, 4.006134624999959, 4.010116165999989, 4.022996375000275, 4.027377541000078, 4.039476708000166, 4.043470291000176, 4.056264374999955, 4.060322000000269, 4.072894291000011, 4.077354957999887, 4.089415458000076, 4.09375399999999, 4.106113499999992, 4.109983332999946, 4.123132333000285, 4.127383416000157, 4.1394933750002565, 4.144031000000268, 4.156728416000078, 4.161408082999969, 4.173193999999967, 4.178504208000049]",['left'],4.181045708000056,4.189736000000266,5.181660707999981,5.173267083000155,350024,001,2024-06-25_11h22.12.994,hello_pyramid,2024.1.5,None,2024-06-25 11h22.16.115603 -0400,
Click left.,<---,left,0,2,2,0,5.181660707999981,,5.17375920800032,5.181660707999981,6.182577999999921,6.182577999999921,6.182577999999921,1.0016232090001722,6.182577999999921,7.040528166000058,"[-0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.021666666666666667, -0.015, -0.01, 0.02, 0.056666666666666664, 0.09666666666666666, 0.14, 0.18333333333333332, 0.225, 0.26166666666666666, 0.27166666666666667, 0.295, 0.30833333333333335, 0.31333333333333335, 0.31333333333333335, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.315, 0.31666666666666665, 0.31666666666666665, 0.31833333333333336, 0.32, 0.32, 0.32, 0.32166666666666666, 0.32666666666666666, 0.32666666666666666, 0.3566666666666667, 0.3566666666666667, 0.41, 0.41, 0.455, 0.455, 0.4716666666666667, 0.4716666666666667, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333, 0.47333333333333333]","[-0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.07833333333333334, -0.07333333333333333, -0.065, -0.06, -0.05333333333333334, -0.05333333333333334, -0.051666666666666666, -0.04833333333333333, -0.04833333333333333, -0.04833333333333333, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.04, -0.04, -0.03666666666666667, -0.03666666666666667, -0.025, -0.025, -0.02, -0.02, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666, -0.016666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.183217166000304, 6.207086082999922, 6.223531291000199, 6.231434415999956, 6.239404375000049, 6.245915416000116, 6.256573208000191, 6.262860083000305, 6.273060791000262, 6.279269957999986, 6.28986708299999, 6.295931458000268, 6.306513458000154, 6.312208415999976, 6.32323150000002, 6.32864141600021, 6.339890624999953, 6.345658125000227, 6.356229125000027, 6.361628416000258, 6.37322470800018, 6.378600041000027, 6.389776958000311, 6.3951278330000605, 6.406545666000056, 6.412276125000062, 6.423243665999962, 6.428460125000129, 6.439737916000013, 6.445019083000261, 6.457160750000185, 6.463034332999996, 6.473570999999993, 6.478946375000305, 6.490058541000053, 6.4954945829999815, 6.5067906250001215, 6.511755250000078, 6.523547624999992, 6.528541707999921, 6.539722916000301, 6.544698540999889, 6.556483750000098, 6.5613769579999826, 6.573280790999888, 6.578272291000303, 6.589717374999964, 6.59469050000007, 6.606174416000158, 6.611044166000283, 6.623226582999905, 6.628177041000072, 6.639753416000076, 6.644678665999891, 6.656531874999928, 6.661894958000175, 6.673610083000312, 6.679242375000285, 6.690090583000256, 6.69545454099989, 6.706456416000037, 6.71184274999996, 6.723522415999923, 6.72876612500022, 6.740074708000066, 6.745432624999921, 6.756791791000069, 6.7622522080000635, 6.773515875000157, 6.77889737500027, 6.789777040999979, 6.795010374999947, 6.806798957999945, 6.811775957999998, 6.823254333000023, 6.82823020800015, 6.8397389159999875, 6.844623958000284, 6.856143166000038, 6.860902875000193, 6.873226125000201, 6.878126166000129, 6.889751375000287, 6.894730166000045, 6.906510083000285, 6.912033000000065, 6.923247749999973, 6.928512082999987, 6.940011624999897, 6.945629625000038, 6.956474957999944, 6.961789541000144, 6.973280375000286, 6.978708083000129, 6.9897836250002, 6.995029208000233, 7.006492958000308, 7.011912750000192, 7.023241708000114, 7.0291021250000085, 7.039933125000061]",['right'],7.043288165999911,7.0468454159999965,8.05507816599993,8.040430041000036,350024,001,2024-06-25_11h22.12.994,hello_pyramid,2024.1.5,None,2024-06-25 11h22.16.115603 -0400,
Click right.,--->,right,0,3,3,3,8.05507816599993,,8.041033833000256,8.05507816599993,9.039096708000216,9.039096708000216,9.039096708000216,1.0026360420001765,9.045881166000072,9.857493958000305,"[0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.013333333333333334, 0.035, 0.045, 0.11166666666666666, 0.11166666666666666, 0.18666666666666668, 0.18666666666666668, 0.25666666666666665, 0.25666666666666665, 0.29, 0.29, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.29333333333333333, 0.295, 0.2966666666666667, 0.2966666666666667, 0.29833333333333334, 0.3016666666666667, 0.305, 0.31, 0.31, 0.325, 0.325, 0.375, 0.375, 0.43333333333333335, 0.43333333333333335, 0.46, 0.46, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333, 0.4633333333333333]","[-0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.06666666666666667, -0.065, -0.06, -0.058333333333333334, -0.05, -0.05, -0.04, -0.04, -0.03166666666666667, -0.03166666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.02666666666666667, -0.025, -0.025, -0.023333333333333334, -0.021666666666666667, -0.021666666666666667, -0.018333333333333333, -0.018333333333333333, -0.013333333333333334, -0.013333333333333334, -0.005, -0.005, -0.0033333333333333335, -0.0033333333333333335, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668, -0.0016666666666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.046473958000206, 9.056433582999944, 9.063324457999897, 9.073006416000226, 9.07933200000025, 9.089975458000026, 9.096213083000293, 9.10632645800024, 9.11269804099993, 9.122882333000234, 9.128647875000297, 9.139780791000248, 9.145195832999889, 9.156514916000106, 9.161955750000288, 9.173310291000234, 9.179234958000052, 9.190013249999993, 9.195415707999928, 9.20653104100029, 9.211969541000144, 9.223281583000244, 9.228727208000237, 9.239763291000145, 9.245177666000018, 9.256499083000108, 9.26194333300009, 9.27323533300023, 9.278622499999983, 9.289768583000296, 9.295755458000258, 9.306919707999896, 9.313103458000114, 9.323619791000056, 9.329300040999897, 9.340090041000167, 9.34537649999993, 9.356822791000013, 9.362074250000205, 9.373180999999931, 9.37846291599999, 9.390062208000018, 9.395288958000037, 9.406490916000166, 9.41145666600005, 9.423230040999897, 9.428181750000022, 9.439941291000196, 9.444847208000283, 9.456469291000303, 9.461435875000006, 9.473495457999888, 9.478509833000317, 9.490064790999895, 9.495331957999952, 9.507034750000003, 9.51302858300005, 9.523398541000006, 9.528811000000132, 9.54018108299988, 9.545602749999944, 9.556665458000225, 9.56172129100014, 9.57294608300026, 9.57793883300019, 9.589674374999959, 9.594734791000064, 9.60632862500006, 9.611003333000099, 9.622895625000183, 9.627871958000014, 9.639593082999909, 9.644492916000218, 9.656315499999891, 9.661254333000215, 9.672938749999958, 9.677960166000048, 9.689750208000078, 9.694715458000246, 9.706502999999884, 9.711412500000279, 9.723217833000035, 9.728106458000184, 9.739731665999898, 9.744697541000278, 9.756482374999905, 9.761632208000265, 9.773186833000182, 9.778124625000146, 9.78992775000006, 9.794846083000266, 9.806231000000025, 9.811668415999975, 9.82327400000031, 9.82867620800016, 9.839646124999945, 9.844930791000024, 9.857019416000185]",['right'],9.859878291000314,9.863379165999959,10.864919915999963,10.856702708000284,350024,001,2024-06-25_11h22.12.994,hello_pyramid,2024.1.5,None,2024-06-25 11h22.16.115603 -0400,
